Ley,Año,Asunto HCDN,Asunto Senado,URL,Nombre,Sumario
26761,2012,1242,1719,http://www.infoleg.gob.ar/infolegInternet/anexos/200000-204999/201393/norma.htm,Expropiación de la ex Ciccone Calcográfica,DECLARASE DE UTILIDAD PUBLICA Y SUJETA A EXPROPIACION A LA COMPAÑIA DE VALORES SUDAMERICANA S.A.
26774,2012,1256,1692,http://www.infoleg.gob.ar/infolegInternet/anexos/200000-204999/204176/norma.htm,Ley de Voto Joven,"MODIFICANSE LEYES N° 346, 17.671, 19.945, 23.298, 25.432, 26.215 Y 26.571."
26790,2012,1260,1748,http://www.infoleg.gob.ar/infolegInternet/anexos/205000-209999/205495/norma.htm,Ley de Per Saltum,RECURSO EXTRAORDINARIO POR SALTO DE INSTANCIA. INCORPORANSE ARTICULOS 257 BIS Y 257 TER.
26831,2012,1271,1804,http://www.infoleg.gob.ar/infolegInternet/anexos/205000-209999/206592/norma.htm,Ley de Mercado de Capitales,"LEY DE MERCADO DE CAPITALES. DEROGANSE LA LEY 17.811, EL ARTICULO 80 DE LA LEY 11.672, COMPLEMENTARIA PERMANENTE DE PRESUPUESTO (T.O. 2005), LOS DECRETOS 656 DE FECHA 23 DE ABRIL DE 1992, 749 DE FECHA 29 DE AGOSTO DE 2000, 677 DE FECHA 22 DE MAYO DE 2001 Y 476 DE FECHA 20 DE ABRIL DE 2004, LOS ARTICULOS 80 A 84 DEL DECRETO 2.284 DE FECHA 31 DE OCTUBRE DE 1991 Y TODA OTRA NORMA QUE SE OPONGA A LA PRESENTE LEY."
26842,2012,1299,1622,http://www.infoleg.gob.ar/infolegInternet/anexos/205000-209999/206554/norma.htm,Reforma de la ley de Trata de Personas,"CODIGO PENAL, CODIGO PROCESAL PENAL Y LEY Nº 26.364. MODIFICACIONES."
26843,2013,1300,1812,http://www.infoleg.gob.ar/infolegInternet/anexos/205000-209999/208948/norma.htm,Memorándum de entendimiento con Irán,APRUEBASE EL “MEMORANDUM DE ENTENDIMIENTO ENTRE EL GOBIERNO DE LA REPUBLICA ARGENTINA Y EL GOBIERNO DE LA REPUBLICA ISLAMICA DE IRAN SOBRE LOS TEMAS VINCULADOS AL ATAQUE TERRORISTA A LA SEDE DE LA AMIA EN BUENOS AIRES EL 18 DE JULIO DE 1994”
26844,2013,1302,1776,http://www.infoleg.gob.ar/infolegInternet/anexos/210000-214999/210489/norma.htm,Régimen de Contrato de Trabajo del Servicio Doméstico,"REGIMEN ESPECIAL DE CONTRATO DE TRABAJO PARA EL PERSONAL DE CASAS PARTICULARES. DEROGASE EL DECRETO-LEY 326/56 Y SUS MODIFICATORIOS, EL DECRETO 7.979/56 Y SUS MODIFICATORIOS Y EL DECRETO 14.785/57."
26853,2013,1343,1819,http://www.infoleg.gob.ar/infolegInternet/anexos/210000-214999/214383/norma.htm,Creación de Cámaras Federales de Casación en lo Civil y Contencioso Administrativo,"CREANSE LA CAMARA FEDERAL DE CASACION EN LO CONTENCIOSO ADMINISTRATIVO FEDERAL, LA CAMARA FEDERAL Y NACIONAL DE CASACION DEL TRABAJO Y LA SEGURIDAD SOCIAL Y LA CAMARA FEDERAL Y NACIONAL DE CASACION EN LO CIVIL Y COMERCIAL, TODAS ELLAS CON SEDE EN LA CAPITAL FEDERAL, LAS QUE SE REGIRAN CONFORME LA ORGANIZACION Y COMPETENCIAS QUE SE ESTABLECEN EN LA PRESENTE LEY."
26854,2013,1344,1820,http://www.infoleg.gob.ar/infolegInternet/anexos/210000-214999/212680/norma.htm,Medidas Cautelares en causas del Estado Nacional,MEDIDAS CAUTELARES EN LAS CAUSAS EN LAS QUE ES PARTE O INTERVIENE. PROCESOS EXCLUIDOS.
26855,2013,1309,1833,http://www.infoleg.gob.ar/infolegInternet/anexos/215000-219999/215215/norma.htm,Reforma del Consejo de la Magistratura,"MODIFICACION DE LAS LEYES N° 24.937, 11.672, 19.362, 17.928, 23.853, 24.156 Y 26.376."
26856,2013,1308,1835,http://www.infoleg.gob.ar/infolegInternet/anexos/215000-219999/215004/norma.htm,Publicación de acordadas y resoluciones judiciales,CORTE SUPREMA DE JUSTICIA DE LA NACION Y TRIBUNALES DE SEGUNDA INSTANCIA. PUBLICACION INTEGRA DE ACORDADAS Y RESOLUCIONES.
26857,2013,1307,1836,http://www.infoleg.gob.ar/infolegInternet/anexos/215000-219999/215002/norma.htm,"Publicidad de Declaraciones Juradas de Funcionarios Públicos, incluyendo judiciales","ESTABLECESE QUE LAS DECLARACIONES JURADAS PATRIMONIALES INTEGRALES PRESENTADAS POR LAS PERSONAS QUE SE ENCUENTRAN OBLIGADAS EN VIRTUD DE LA NORMATIVA DE ETICA EN EL EJERCICIO DE LA FUNCION PUBLICA, DE CONFORMIDAD CON LO ESTABLECIDO EN EL ARTICULO 5° DE LA LEY 25.188 SON DE CARACTER PUBLICO, DE LIBRE ACCESIBILIDAD Y PODRAN SER CONSULTADAS POR TODA PERSONA INTERESADA EN FORMA GRATUITA A TRAVES DE INTERNET, DE CONFORMIDAD CON EL PROCEDIMIENTO QUE ESTABLEZCA LA REGLAMENTACION. SUSTITUYESE EL ARTICULO 5° DE LA LEY 25.188. DEROGASE EL CAPITULO VIII DE LA LEY 25.188."
26861,2013,1306,1834,http://www.infoleg.gob.ar/infolegInternet/anexos/215000-219999/215799/norma.htm,Ingreso Democrático e Igualitario de Personal al Poder Judicial,INGRESO DEMOCRATICO E IGUALITARIO DE PERSONAL AL PODER JUDICIAL DE LA NACION Y AL MINISTERIO PUBLICO DE LA NACION.
26862,2013,1348,1821,http://www.infoleg.gob.ar/infolegInternet/anexos/215000-219999/216700/norma.htm,Ley de Reproducción Asistida,LA PRESENTE LEY TIENE POR OBJETO GARANTIZAR EL ACCESO INTEGRAL A LOS PROCEDIMIENTOS Y TECNICAS MEDICO-ASISTENCIALES DE REPRODUCCION MEDICAMENTE ASISTIDA.
26893,2013,1363,1869,http://www.infoleg.gob.ar/infolegInternet/anexos/220000-224999/220131/norma.htm,Reforma al impuesto a las ganancias,LEY DE IMPUESTO A LAS GANANCIAS. MODIFICACIONES.
26896,2013,1381,1884,http://www.infoleg.gob.ar/infolegInternet/anexos/220000-224999/221224/norma.htm,Prórroga de la Ley de Emergencia Pública,"PRORROGASE HASTA EL 31 DE DICIEMBRE DE 2015 LA VIGENCIA DE LOS ARTICULOS 1°, 2°, 3°, 4° Y 6° DE LA LEY 26.204 PRORROGADA POR SUS SIMILARES 26.339, 26.456, 26.563 Y 26.729."
26913,2013,1384,1889,http://www.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224027/norma.htm,Pensión graciable para ex presos políticos,EX PRESOS POLITICOS DE LA REPUBLICA ARGENTINA. PENSIONES.
26944,2014,1385,1978,http://www.infoleg.gob.ar/infolegInternet/anexos/230000-234999/233216/norma.htm,Ley de Responsabilidad del Estado,ESTA LEY RIGE LA RESPONSABILIDAD DEL ESTADO POR LOS DAÑOS QUE SU ACTIVIDAD O INACTIVIDAD LES PRODUZCA A LOS BIENES O DERECHOS DE LAS PERSONAS.
26970,2014,1433,1980,http://www.infoleg.gob.ar/infolegInternet/anexos/230000-234999/234847/norma.htm,Regularización de deudas previsionales,"LOS TRABAJADORES AUTONOMOS INSCRIPTOS O NO EN EL SISTEMA INTEGRADO PREVISIONAL ARGENTINO (SIPA), Y LOS SUJETOS ADHERIDOS AL REGIMEN SIMPLIFICADO PARA PEQUEÑOS CONTRIBUYENTES (RS), EN ADELANTE MONOTRIBUTISTAS, QUE HAYAN CUMPLIDO A LA FECHA O CUMPLAN LA EDAD JUBILATORIA PREVISTA EN EL ARTICULO 19 DE LA LEY 24.241 DENTRO DEL PLAZO DE DOS (2) AÑOS DESDE LA VIGENCIA DE LA PRESENTE, PODRAN REGULARIZAR SUS DEUDAS PREVISIONALES CONFORME EL REGIMEN ESPECIAL ESTABLECIDO EN LA PRESENTE LEY."
26984,2014,1440,1990,http://www.infoleg.gob.ar/infolegInternet/anexos/230000-234999/234982/norma.htm,Reestructuración de la Deuda Soberana,"EN EJERCICIO DEL PODER SOBERANO DE LA REPUBLICA ARGENTINA, DECLARASE DE INTERES PUBLICO LA REESTRUCTURACION DE LA DEUDA SOBERANA REALIZADA EN LOS AÑOS 2005 Y 2010, ASI COMO EL PAGO EN CONDICIONES JUSTAS, EQUITATIVAS, LEGALES Y SUSTENTABLES AL CIEN POR CIENTO DE LOS TENEDORES DE TITULOS PUBLICOS DE LA REPUBLICA ARGENTINA; Y, POR CONSIGUIENTE, LA APLICACION DE LOS CONTRATOS CELEBRADOS EN EL MARCO DE LAS REESTRUCTURACIONES DISPUESTAS POR LOS DECRETOS 1735/04 Y 563/10, A LOS FINES DE PRESERVAR EL COBRO POR PARTE DE LOS BONISTAS INTERESADOS."
26993,2014,1446,1991,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235275/norma.htm,Resolución de Conflictos en las Relaciones de Consumo,"CREASE EL SERVICIO DE CONCILIACION PREVIA EN LAS RELACIONES DE CONSUMO (COPREC). MODIFICACION DE LAS LEYES: 24.240 DE DEFENSA DEL CONSUMIDOR; 22.802 DE LEALTAD COMERCIAL, 25.156 DE DEFENSA DE LA COMPETENCIA, 26.853, 26.589 DE MEDIACION Y CONCILIACION, LA LEY DE MINISTERIOS Y EL DECRETO/LEY 1285/58"
26994,2014,1447,1931,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235975/norma.htm,Nuevo Código Civil y Comercial,"APRUEBASE EL CODIGO CIVIL Y COMERCIAL DE LA NACION. DEROGANSE: LAS LEYES NROS. 11.357, 13.512, 14.394, 18.248, 19.724, 19.836, 20.276, 21.342 —CON EXCEPCION DE SU ARTICULO 6°—, 23.091, 25.509 Y 26.005; LA SECCION IX DEL CAPITULO II —ARTICULOS 361 A 366— Y EL CAPITULO III DE LA LEY 19.550, T.O. 1984; LOS ARTICULOS 36, 37 Y 38 DE LA LEY 20.266 Y SUS MODIFICATORIAS; EL ARTICULO 37 DEL DECRETO 1798 DEL 13 DE OCTUBRE DE 1994; LOS ARTICULOS 1° A 26 DE LA LEY 24.441; LOS CAPITULOS I —CON EXCEPCION DEL SEGUNDO Y TERCER PARRAFOS DEL ARTICULO 11— Y III —CON EXCEPCION DE LOS PARRAFOS SEGUNDO Y TERCERO DEL ARTICULO 28— DE LA LEY 25.248; LOS CAPITULOS III, IV, V Y IX DE LA LEY 26.356. DEROGANSE EL CODIGO CIVIL, APROBADO POR LA LEY 340, Y EL CODIGO DE COMERCIO, APROBADO POR LAS LEYES NROS. 15 Y 2.637, EXCEPTO LOS ARTICULOS 891, 892, 907, 919, 926, 984 A 996, 999 A 1003 Y 1006 A 1017/5."
27008,2014,1448,2010,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/238340/norma.htm,Ley de Presupuesto 2015,APRUEBASE EL PRESUPUESTO GENERAL DE LA ADMINISTRACION NACIONAL PARA EL EJERCICIO 2015.
27063,2014,1500,2011,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/239340/norma.htm,Nuevo Código Procesal Penal,"APRUEBASE EL CODIGO PROCESAL PENAL DE LA NACION. DEROGASE EL CODIGO PROCESAL PENAL APROBADO EN VIRTUD DEL ARTICULO 1° DE LA LEY 23.984, SIN PERJUICIO DE LO ESTABLECIDO EN EL ARTICULO 5° DE LA PRESENTE LEY."
27078,2014,1528,2028,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/239771/norma.htm,Ley Argentina Digital,"DECLARASE DE INTERES PUBLICO EL DESARROLLO DE LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES, LAS TELECOMUNICACIONES, Y SUS RECURSOS ASOCIADOS, ESTABLECIENDO Y GARANTIZANDO LA COMPLETA NEUTRALIDAD DE LAS REDES."
27097,2014,1500,2041,http://www.infoleg.gob.ar/infolegInternet/anexos/240000-244999/241287/norma.htm,Unificación del Fuero en lo Penal Económico con el Fuero en lo Penal Tributario,"A PARTIR DE LA ENTRADA EN VIGENCIA DE LA PRESENTE LEY, LOS JUZGADOS NACIONALES EN LO PENAL ECONOMICO TENDRAN, JUNTAMENTE CON LA COMPETENCIA MATERIAL Y TERRITORIAL QUE ACTUALMENTE POSEEN, LA ATRIBUIDA A LOS JUZGADOS NACIONALES EN LO PENAL TRIBUTARIO. SERA COMPETENCIA DE LAS FISCALIAS EN LO PENAL ECONOMICO, ADEMAS DE LA QUE POSEEN EN LA ACTUALIDAD, LA ATRIBUIDA A LA FISCALIA EN LO PENAL TRIBUTARIO, CREADAS POR EL ARTICULO 6° DE LA LEY 25.292. MODIFICASE LA LEY N° 24050, 24121 Y EL DECRETO LEY N° 1285/58."
27120,2014,1506,2046,http://www.infoleg.gob.ar/infolegInternet/anexos/240000-244999/240491/norma.htm,Elección de Parlamentarios del Mercosur,"MODIFICASE EL ARTICULO 53 DEL CODIGO ELECTORAL NACIONAL, QUE QUEDA REDACTADO DE LA SIGUIENTE MANERA: ARTICULO 53: CONVOCATORIA Y FECHA DE ELECCIONES. LA CONVOCATORIA A ELECCION DE CARGOS NACIONALES Y DE PARLAMENTARIOS DEL MERCOSUR SERA HECHA POR EL PODER EJECUTIVO NACIONAL. LA ELECCION DE CARGOS NACIONALES SE REALIZARA EL CUARTO DOMINGO DE OCTUBRE INMEDIATAMENTE ANTERIOR A LA FINALIZACION DE LOS MANDATOS, SIN PERJUICIO DE LAS PREVISIONES DEL ARTICULO 148. LA ELECCION DE PARLAMENTARIOS DEL MERCOSUR SE REALIZARA EL DIA DEL MERCOSUR CIUDADANO. MODIFICASE EL ARTICULOS 60 DEL CODIGO ELECTORAL NACIONAL. INCORPORASE LOA ARTICULO 60 BIS Y 120 BIS DEL CODIGO ELECTORAL NACIONAL. MODIFICANSE LOS ARTICULO 122 Y 124 DEL CODIGO ELECTORAL NACIONAL. INCORPORACION AL TITULO VII DEL CODIGO ELECTORAL NACIONAL —LEY 19.945 Y SUS MODIFICACIONES— EL CAPITULO IV, CON LA DENOMINACION “DE LA ELECCION DE LOS PARLAMENTARIOS DEL MERCOSUR”. MODIFICACION DE LAS LEYES 26215, DE FINANCIAMIENTO DE LOS PARTIDOS POLITICOS Y 26571, DE ELECCIONES PRIMARIAS, ABIERTAS, SIMULTANEAS Y OBLIGATORIAS."
27126,2015,1535,2049,http://www.infoleg.gob.ar/infolegInternet/anexos/240000-244999/243821/norma.htm,Creación de la Agencia Federal de Inteligencia,CREACION DE LA AGENCIA FEDERAL DE INTELIGENCIA. LEY N° 25.520. MODIFICACION.
27132,2015,1535,2055,http://www.infoleg.gob.ar/infolegInternet/anexos/245000-249999/247081/norma.htm,Política de reactivación de ferrocarriles,"POLITICA DE REACTIVACION DE LOS FERROCARRILES DE PASAJEROS Y DE CARGAS, RENOVACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA FERROVIARIA, INCORPORACION DE TECNOLOGIAS Y SERVICIOS. DECLARACION DE INTERES PUBLICO NACIONAL."
27160,2015,1556,2079,http://www.infoleg.gob.ar/infolegInternet/anexos/245000-249999/249221/norma.htm,Movilidad de las asignaciones familiares,"LAS ASIGNACIONES FAMILIARES PREVISTAS EN LA LEY 24.714, SUS NORMAS COMPLEMENTARIAS Y MODIFICATORIAS, CON EXCEPCION DE LA ESTABLECIDA EN EL INCISO E) DEL ARTICULO 6° DE LA LEY 24.714, SERAN MOVILES. EL CALCULO DEL INDICE DE MOVILIDAD SE REALIZARA CONFORME A LO PREVISTO EN EL ANEXO DE LA LEY 26.417. LA MOVILIDAD SE APLICARA AL MONTO DE LAS ASIGNACIONES FAMILIARES Y A LA ACTUALIZACION DE LOS RANGOS DE INGRESOS DEL GRUPO FAMILIAR QUE DETERMINAN EL COBRO, EN LOS CASOS EN QUE CORRESPONDE SU UTILIZACION. EN NINGUN CASO LA APLICACION DE DICHO INDICE PODRA PRODUCIR UNA DISMINUCION DEL VALOR DE LA ASIGNACION."
