expediente-128-s-11-orden-del-dia-1812-votacion-en-general-y-particular	19/12/2012 22:39:00	Expediente 128-S-11 - Orden Del Dia 1812 - Votación en General y Particular.	128-S-11	http://infoleg.mecon.gov.ar/infolegInternet/anexos/205000-209999/206554/norma.htm	CREACION DE LA UNIDAD DE ENLACE PARA EL SEGUIMIENTO Y TRATAMIENTO DE TEMAS VINCULADOS A LA TRATA Y TRAFICO DE PERSONAS.	Modificación a la Ley de Trata de Personas
exp-16-jgm-11-orden-del-dia-01-votacon-en-general	14/12/2011 20:41:00	Exp. 16-JGM-11 - Orden del Día 01 - Votacón en General.	16-JGM-11	http://www.infoleg.gob.ar/infolegInternet/anexos/190000-194999/192132/norma.htm	PRESUPUESTO GENERAL PARA LA ADMINISTRACION PUBLICA NACIONAL PARA EL EJERCICIO FISCAL CORRESPONDIENTE AL AÑO 2012.	Ley de Presupuesto 2012
expediente-15-jgm-12-orden-del-dia-1044-votacion-en-general-y-particular	11/10/2012 1:38:00	Expediente 15-JGM-12 - Orden del Día 1044 - Votación en General y Particular.	15-JGM-12	http://infoleg.mecon.gov.ar/infolegInternet/anexos/200000-204999/204228/norma.htm	PRESUPUESTO GENERAL DE LA ADMINISTRACION NACIONAL PARA EL EJERCICIO FISCAL CORRESPONDIENTE AL AÑO 2013.	Ley de Presupuesto 2013
expediente-236-s-12-orden-del-dia-1867-votacion-en-general-y-particular	28/02/2013 2:00:00	Expediente 236-S-12 - Orden del Día 1867 - Votación en General y Particular.	236-S-12	http://www.infoleg.gov.ar/infolegInternet/anexos/205000-209999/208948/norma.htm	APROBACION DEL MEMORANDUM DE ENTENDIMIENTO ENTRE EL GOBIERNO DE LA REPUBLICA ARGENTINA Y EL GOBIERNO DE LA REPUBLICA ISLAMICA DE IRAN, SOBRE LOS TEMAS VINCULADOS AL ATAQUE TERRORISTA A LA SEDE DE LA AMIA EN BUENOS AIRES EL 18 DE JULIO DE 1994.	Memorándum de entendimiento con la República Islámica de Irán
exp-38-pe-08-orden-del-dia-1530-votacion-en-general	11/12/2008 1:08:00	Exp. 38-PE-08 - Orden del Día 1530 - Votación en General.	38-PE-08	http://www.infoleg.gov.ar/infolegInternet/anexos/145000-149999/148719/norma.htm	REGIMEN DE NORMALIZACION TRIBUTARIA, PROMOCION Y PROTECCION DEL EMPLEO REGISTRADO CON PRIORIDAD EN PYMES Y EXTERIORIZACION Y REPATRIACION DE CAPITALES.	Ley de blanqueo de capitales
exp-31-pe-09-votacion-en-general-y-particular	18/11/2009 19:00:00	Exp. 31-PE-09 - Votación en General y Particular.	31-PE-09	http://www.infoleg.gov.ar/infolegInternet/anexos/160000-164999/161453/norma.htm	REFORMA POLITICO ELECTORAL: LEY DE DEMOCRATIZACION DE LA REPRESENTACION POLITICA, LA TRANSPARENCIA Y LA EQUIDAD ELECTORAL. MODIFICACION DE LA LEY 23298 (PARTIDOS POLITICOS), DE LA LEY 26215 (FINANCIAMIENTO DE LOS PARTIDOS POLITICOS) Y DEL CODIGO ELECTORAL NACIONAL (LEY 19945). ELECCIONES PRIMARIAS ABIERTAS Y SIMULTANEAS OBLIGATORIAS (PASO).	Financiamiento de campañas electorales y régimen de las PASO
exp-13-pe-08-votacion-en-general	5/07/2008 12:14:00	Exp. 13-PE-08 - Votación en General.	13-PE-08	http://www.hcdn.gov.ar/comisiones/permanentes/cpyhacienda/proyectos/proyecto.jsp?id=96429	RETENCIONES AGROPECUARIAS: RATIFICACION DE LAS RESOLUCIONES DEL MINISTERIO DE ECONOMIA Y PRODUCCION 125/08 Y 141/08, 64/08 Y SUS COMPLEMENTARIAS 284/08 Y 285/08; CREACION DEL FONDO DE REDISTRIBUCION SOCIAL.	Resolución 125 (Retenciones agropecuarias)
expediente-26-s-12-orden-del-dia-192-votacion-en-general	28/03/2012 20:31:00	Expediente 26-S-12 - Orden del Día 192 - Votación en General.	26-S-12	http://www.infoleg.gov.ar/infolegInternet/anexos/195000-199999/195894/norma.htm	RATIFICACION DE LA TRANSFERENCIA A LA CIUDAD AUTONOMA DE BUENOS AIRES DE LOS SERVICIOS DE TRANSPORTE SUBTERRANEO Y PREMETRO DISPUESTA EN EL MARCO DE LAS LEYES 23696 Y 24588 Y SUS MODIFICATORIAS Y DE LOS DECRETOS 2608/93, 1527/94 Y 393/99 QUE FUERA ACEPTADA POR EL GOBIERNO DE LA CITADA CIUDAD MEDIANTE LA LEY 373 Y RATIFICADA A TRAVES DEL ACTA ACUERDO CELEBRADA EL 03/01/2012 ENTRE EL ESTADO NACIONAL Y LA CIUDAD AUTONOMA DE BUENOS AIRES.	Transferencia del subte y del premetro a CABA
expediente-1943-d-12-y-otros-orden-del-dia-494-votacion-en-general-y-particular	8/08/2012 14:46:00	Expediente 1943-D-12 (y otros) - Orden del Día 494 - Votación en General y Particular.	1943-D-12	http://infoleg.mecon.gov.ar/infolegInternet/anexos/200000-204999/202127/norma.htm	DEPOSITOS JUDICIALES DE LOS TRIBUNALES NACIONALES Y FEDERALES: EFECTUENSE EN EL BANCO DE LA NACION ARGENTINA; MODIFICACION DE LAS LEYES 20785 Y 21799. DEROGACION DE LA LEY 16869 (DEPOSITOS JUDICIALES).	Ley de transferencia de fondos del Banco Ciudad al Nación
expediente-12-s-13-orden-del-dia-1906-votacion-en-general-y-particular	25/04/2013 8:57:00	Expediente 12-S-13 - Orden del Día 1906 - Votación en General y Particular.	12-S-13	http://www.infoleg.gob.ar/infolegInternet/anexos/210000-214999/212680/norma.htm	REGULACION DE LAS MEDIDAS CAUTELARES DICTADAS EN LOS PROCESOS EN LOS QUE EL ESTADO NACIONAL O SUS ENTES DESCENTRALIZADOS SEAN PARTE.	Regulación de las medidas cautelares
