distrito,agrupacion,candidato,categoria
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"17 - Vera Ibañez, Gabriela",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"18 - Suppa, Juan",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"19 - Garralda, Pia",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"20 - Lavalle, Ignacio Martin",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"21 - Constrisciani, Juan",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"22 - Troitiño, Silvana Alicia",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"23 - Casas, Guillermo Alberto",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"24 - Beica, Juan Carlos",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"25 - Alonso Armesto, Maria Ines",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"26 - Biaggio, Nora Iris",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"27 - Viñals, Ariel",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"28 - Talmon, Debora Julieta",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"29 - Relañez, Walter Esteban",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"30 - Sobrado, Jorge Raul",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"31 - Farias, Nancy Valeria",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"32 - Mayer, Christian Marcelo",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"33 - Falcon, Karina",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"34 - Alderete, Jose Marcelo",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"35 - Vazquez, Dalia",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","1 - Stolbizer, Margarita Rosa",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","2 - Alfonsin, Ricardo Luis",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","3 - Gutierrez, Hector Maria",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","4 - Troiano, Gabriela Alejandra",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","5 - Milman, Gerardo Fabian",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","6 - Tunessi, Juan Pedro",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","7 - Storani, Maria Luisa",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","8 - Ceballos, Jorge Raul",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","9 - Piani, Liliana Alicia",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","10 - Torregiani, Elio Arnaldo",Diputados Nacionales
Buenos Aires,"FRENTE PROGRESISTA, CIVICO Y SOCIAL","11 - Villalba, Gladis Beatriz",Diputados Nacionales
