ley,fecha,asuntoD,asuntoS,url,nombre,sumario
26970,2014-08-27,1433,1980,http://www.infoleg.gob.ar/infolegInternet/anexos/230000-234999/234847/norma.htm,Regularización de deudas previsionales,"LOS TRABAJADORES AUTONOMOS INSCRIPTOS O NO EN EL SISTEMA INTEGRADO PREVISIONAL ARGENTINO (SIPA), Y LOS SUJETOS ADHERIDOS AL REGIMEN SIMPLIFICADO PARA PEQUEÑOS CONTRIBUYENTES (RS), EN ADELANTE MONOTRIBUTISTAS, QUE HAYAN CUMPLIDO A LA FECHA O CUMPLAN LA EDAD JUBILATORIA PREVISTA EN EL ARTICULO 19 DE LA LEY 24.241 DENTRO DEL PLAZO DE DOS (2) AÑOS DESDE LA VIGENCIA DE LA PRESENTE, PODRAN REGULARIZAR SUS DEUDAS PREVISIONALES CONFORME EL REGIMEN ESPECIAL ESTABLECIDO EN LA PRESENTE LEY."
26984,2014-09-11,1440,1990,http://www.infoleg.gob.ar/infolegInternet/anexos/230000-234999/234982/norma.htm,Reestructuración de la Deuda Soberana,"EN EJERCICIO DEL PODER SOBERANO DE LA REPUBLICA ARGENTINA, DECLARASE DE INTERES PUBLICO LA REESTRUCTURACION DE LA DEUDA SOBERANA REALIZADA EN LOS AÑOS 2005 Y 2010, ASI COMO EL PAGO EN CONDICIONES JUSTAS, EQUITATIVAS, LEGALES Y SUSTENTABLES AL CIEN POR CIENTO DE LOS TENEDORES DE TITULOS PUBLICOS DE LA REPUBLICA ARGENTINA; Y, POR CONSIGUIENTE, LA APLICACION DE LOS CONTRATOS CELEBRADOS EN EL MARCO DE LAS REESTRUCTURACIONES DISPUESTAS POR LOS DECRETOS 1735/04 Y 563/10, A LOS FINES DE PRESERVAR EL COBRO POR PARTE DE LOS BONISTAS INTERESADOS."
26991,2014-09-18,1444,1989,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235279/norma.htm,Modificación de la Ley de Abastecimiento,MODIFICACION DE LA LEY 20.680. NUEVA REGULACION DE LAS RELACIONES DE PRODUCCION Y CONSUMO.
26993,2014-09-18,1446,1991,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235275/norma.htm,Resolución de Conflictos en las Relaciones de Consumo,"CREASE EL SERVICIO DE CONCILIACION PREVIA EN LAS RELACIONES DE CONSUMO (COPREC). MODIFICACION DE LAS LEYES: 24.240 DE DEFENSA DEL CONSUMIDOR; 22.802 DE LEALTAD COMERCIAL, 25.156 DE DEFENSA DE LA COMPETENCIA, 26.853, 26.589 DE MEDIACION Y CONCILIACION, LA LEY DE MINISTERIOS Y EL DECRETO/LEY 1285/58"
26994,2014-10-01,1447,1931,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235975/norma.htm,Nuevo Código Civil y Comercial,"APRUEBASE EL CODIGO CIVIL Y COMERCIAL DE LA NACION. DEROGANSE LEYES VARIAS, EL CODIGO CIVIL, APROBADO POR LA LEY 340, Y EL CODIGO DE COMERCIO, APROBADO POR LAS LEYES NROS. 15 Y 2.637, EXCEPTO ALGUNOS ARTICULOS."
27008,2014-10-09,1448,2010,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/238340/norma.htm,Ley de Presupuesto 2015,APRUEBASE EL PRESUPUESTO GENERAL DE LA ADMINISTRACION NACIONAL PARA EL EJERCICIO 2015.
27063,2014-12-04,1500,2011,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/239340/norma.htm,Nuevo Código Procesal Penal,"APRUEBASE EL CODIGO PROCESAL PENAL DE LA NACION. DEROGASE EL CODIGO PROCESAL PENAL APROBADO EN VIRTUD DEL ARTICULO 1° DE LA LEY 23.984, SIN PERJUICIO DE LO ESTABLECIDO EN EL ARTICULO 5° DE LA PRESENTE LEY."
27078,2014-12-17,1528,2028,http://www.infoleg.gob.ar/infolegInternet/anexos/235000-239999/239771/norma.htm,Ley Argentina Digital,"DECLARASE DE INTERES PUBLICO EL DESARROLLO DE LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES, LAS TELECOMUNICACIONES, Y SUS RECURSOS ASOCIADOS, ESTABLECIENDO Y GARANTIZANDO LA COMPLETA NEUTRALIDAD DE LAS REDES."
27120,2014-12-16,1506,2046,http://www.infoleg.gob.ar/infolegInternet/anexos/240000-244999/240491/norma.htm,Elección de Parlamentarios del Mercosur,MODIFICASE EL CODIGO ELECTORAL NACIONAL EN LO RELATIVO A LA ELECCION DE CARGOS DE PARLAMENTARIOS DEL MERCOSUR.
27126,2015-02-26,1535,2049,http://www.infoleg.gob.ar/infolegInternet/anexos/240000-244999/243821/norma.htm,Creación de la Agencia Federal de Inteligencia,CREACION DE LA AGENCIA FEDERAL DE INTELIGENCIA. LEY N° 25.520. MODIFICACION.
27132,2015-04-08,1536,2055,http://www.infoleg.gob.ar/infolegInternet/anexos/245000-249999/247081/norma.htm,Política de reactivación de ferrocarriles,"POLITICA DE REACTIVACION DE LOS FERROCARRILES DE PASAJEROS Y DE CARGAS, RENOVACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA FERROVIARIA, INCORPORACION DE TECNOLOGIAS Y SERVICIOS. DECLARACION DE INTERES PUBLICO NACIONAL."
27160,2015-07-15,1556,2079,http://www.infoleg.gob.ar/infolegInternet/anexos/245000-249999/249221/norma.htm,Movilidad de las asignaciones familiares,"LAS ASIGNACIONES FAMILIARES PREVISTAS EN LA LEY 24.714, SUS NORMAS COMPLEMENTARIAS Y MODIFICATORIAS, SERAN MOVILES. EL CALCULO DEL INDICE DE MOVILIDAD SE REALIZARA CONFORME A LO PREVISTO EN EL ANEXO DE LA LEY 26.417. LA MOVILIDAD SE APLICARA AL MONTO DE LAS ASIGNACIONES FAMILIARES Y A LA ACTUALIZACION DE LOS RANGOS DE INGRESOS DEL GRUPO FAMILIAR QUE DETERMINAN EL COBRO, EN LOS CASOS EN QUE CORRESPONDE SU UTILIZACION. EN NINGUN CASO LA APLICACION DE DICHO INDICE PODRA PRODUCIR UNA DISMINUCION DEL VALOR DE LA ASIGNACION."
