asuntoId,diputadoId,bloqueId,voto
1300,12,54,0
1300,23,172,1
1300,25,69,1
1300,29,172,1
1300,30,67,0
1300,38,172,1
1300,42,53,1
1300,43,136,1
1300,44,67,0
1300,46,172,1
1300,47,172,1
1300,51,69,1
1300,60,67,0
1300,66,142,1
1300,69,67,0
1300,73,172,1
1300,74,69,3
1300,75,69,1
1300,77,67,0
1300,84,67,0
1300,94,172,1
1300,95,123,1
1300,98,67,0
1300,105,67,0
1300,109,172,1
1300,112,67,0
1300,116,172,1
1300,118,67,0
1300,121,136,1
1300,123,67,0
1300,128,69,1
1300,129,67,0
1300,131,67,0
1300,132,165,1
1300,137,67,0
1300,152,67,0
1300,154,103,0
1300,158,172,1
1300,159,67,0
1300,160,69,1
1300,161,54,0
1300,165,178,1
1300,167,172,1
1300,176,67,0
1300,182,69,1
1300,196,142,1
1300,198,67,0
1300,199,67,0
1300,201,69,1
1300,203,18,3
1300,209,172,1
1300,210,66,0
1300,214,172,1
1300,218,67,0
1300,223,67,0
1300,229,172,1
1300,231,67,0
1300,234,67,0
1300,235,123,1
1300,236,67,0
1300,239,67,0
1300,247,103,0
1300,248,18,1
1300,251,67,0
1300,255,67,0
1300,260,123,1
1300,263,172,1
1300,267,69,1
1300,268,123,1
1300,271,67,0
1300,282,67,0
1300,288,172,1
1300,289,169,1
1300,292,37,1
1300,294,69,1
1300,296,67,0
1300,297,18,1
1300,305,67,0
1300,311,67,0
1300,312,67,0
1300,315,67,0
1300,320,93,1
1300,321,67,0
1300,325,84,1
1300,330,67,0
1300,332,67,0
1300,337,172,1
1300,344,117,1
1300,348,172,1
1300,349,38,1
1300,352,67,0
1300,353,67,0
1300,360,67,0
1300,367,172,1
1300,368,67,0
1300,370,69,1
1300,372,67,0
1300,378,172,1
1300,382,149,0
1300,390,152,0
1300,392,172,3
1300,393,28,1
1300,394,67,0
1300,402,67,0
1300,406,69,1
1300,410,67,0
1300,413,67,0
1300,417,67,0
1300,422,28,1
1300,423,102,0
1300,426,172,1
1300,428,67,0
1300,433,69,1
1300,435,67,0
1300,436,67,0
1300,437,67,0
1300,438,172,1
1300,446,172,1
1300,458,136,1
1300,461,67,0
1300,463,67,0
1300,471,67,0
1300,474,67,0
1300,475,67,0
